"","REG_ID","TIME","GDP_PC","POP","REG_ID_M","iso3","Regional name (eng)","metro_code","metro_name","metro_lev1","metro_large","metro_far"
"37","AT002M","2015",50095.7324665664,618390,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"38","AT002M","2016",51263.9767427001,626040,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"39","AT002M","2017",52080,631250,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"40","AT002M","2018",52422.9262074501,635430,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"41","AT002M","2019",53743.4943656909,639830,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"42","AT002M","2020",49844.7256441447,644110,"AT002M","AUT","Graz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"43","AT003M","2000",47677.5582888143,724410,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"44","AT003M","2001",48526.7408050491,725670,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"45","AT003M","2002",48413.1839192396,729070,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"46","AT003M","2003",49384.1830261524,733010,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"47","AT003M","2004",49883.2415719671,737420,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"48","AT003M","2005",50900.0471793489,741850,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"49","AT003M","2006",52338.3384995236,745230,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"50","AT003M","2007",53797.8628077731,747710,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"51","AT003M","2008",55963.2954105926,749770,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"52","AT003M","2009",53116.4666116626,751460,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"53","AT003M","2010",54114.4193338382,752670,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"54","AT003M","2011",55451.1731429101,754810,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"55","AT003M","2012",55264.5739910314,758200,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"56","AT003M","2013",55289.5054282268,762680,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"57","AT003M","2014",54910.2162351931,769070,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"58","AT003M","2015",55159.8555065626,777890,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"59","AT003M","2016",55001.9710823149,786370,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"60","AT003M","2017",56148.0332046527,792660,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"61","AT003M","2018",57634.5985218589,798300,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"62","AT003M","2019",57852.20865539,803430,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"63","AT003M","2020",54014.5923295806,807150,"AT003M","AUT","Linz","MR-M","Metropolitan midsize","Metropolitan","Metropolitan midsize","Metropolitan"
"64","AT111","2000",25856,37970,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"65","AT111","2001",26757,37760,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"66","AT111","2002",26504,37740,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"67","AT111","2003",28180,37670,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"68","AT111","2004",27831,37580,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"69","AT111","2005",26940,37470,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"70","AT111","2006",28252,37450,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
"71","AT111","2007",28570,37460,NA,"AUT","Mittelburgenland","NMR-S","Near a FUA<250K","Non-metropolitan","Far from a FUA>250K","Far from a FUA>250K"
